;S 120 Deep Blue G;S 115 Peacock B G;S 090 Dark Y G G;S 101 Yellow G;S 022 Dark Amber G;S 019 Fire G;S 106 Primary Red G;S 170 Deep Lav G;S 137 Special Lav G;S 117 Steel Blue G;S 088 Lime Green G;S 156 Chocolate G;S  652 U Sodium G;S 111 Dark Pink G;S 200 Double CTB G;S 204 Full CTO G;S 181 Congo B D;S 071 Tokyo Blue D;S 119 Dark Blue D;S 138 P Green D;S 158 Deep Orange D;S 126 Mauve D
416;9,269e-005;1,791e-005;1,755e-027;1,755e-027;1,755e-027;1,755e-027;1,755e-027;1,123e-004;1,060e-004;4,227e-005;1,067e-005;6,301e-005;1,755e-027;6,648e-005;8,507e-005;4,513e-005;8,326e-005;8,624e-005;2,913e-005;9,130e-006;1,755e-027;8,554e-005
418;1,350e-004;2,766e-005;1,696e-027;1,696e-027;1,696e-027;1,696e-027;1,696e-027;1,583e-004;1,494e-004;6,209e-005;1,728e-005;8,566e-005;5,644e-007;9,479e-005;1,239e-004;6,291e-005;1,221e-004;1,260e-004;4,486e-005;1,451e-005;1,696e-027;1,248e-004
420;1,941e-004;4,217e-005;1,646e-027;1,646e-027;1,646e-027;1,646e-027;1,646e-027;2,214e-004;2,092e-004;8,942e-005;2,568e-005;1,146e-004;3,781e-006;1,336e-004;1,776e-004;8,566e-005;1,776e-004;1,820e-004;6,872e-005;2,280e-005;1,646e-027;1,805e-004
422;2,754e-004;6,283e-005;5,967e-007;1,595e-027;1,595e-027;1,595e-027;1,595e-027;3,035e-004;2,896e-004;1,246e-004;3,488e-005;1,516e-004;9,074e-006;1,841e-004;2,504e-004;1,135e-004;2,534e-004;2,606e-004;1,018e-004;3,237e-005;1,595e-027;2,576e-004
424;3,870e-004;8,949e-005;1,608e-006;1,553e-027;1,553e-027;1,553e-027;1,553e-027;4,137e-004;3,994e-004;1,723e-004;4,673e-005;1,997e-004;1,620e-005;2,504e-004;3,520e-004;1,481e-004;3,577e-004;3,682e-004;1,468e-004;4,427e-005;2,852e-006;3,636e-004
426;5,396e-004;1,267e-004;3,845e-006;1,516e-027;1,516e-027;1,516e-027;1,516e-027;5,611e-004;5,475e-004;2,366e-004;6,164e-005;2,596e-004;2,539e-005;3,382e-004;4,897e-004;1,920e-004;5,011e-004;5,149e-004;2,087e-004;5,838e-005;7,736e-006;5,104e-004
428;7,620e-004;1,806e-004;7,726e-006;1,472e-027;1,472e-027;1,472e-027;1,472e-027;7,718e-004;7,598e-004;3,290e-004;8,047e-005;3,398e-004;3,671e-005;4,625e-004;6,918e-004;2,502e-004;7,138e-004;7,349e-004;3,004e-004;7,677e-005;1,521e-005;7,273e-004
430;1,039e-003;2,482e-004;1,164e-005;1,446e-027;1,446e-027;1,446e-027;1,446e-027;1,026e-003;1,021e-003;4,421e-004;1,009e-004;4,311e-004;4,924e-005;6,117e-004;9,416e-004;3,151e-004;9,785e-004;1,006e-003;4,160e-004;9,779e-005;2,152e-005;1,000e-003
432;1,391e-003;3,355e-004;1,807e-005;1,421e-027;1,421e-027;1,421e-027;1,421e-027;1,344e-003;1,351e-003;5,833e-004;1,249e-004;5,392e-004;6,335e-005;7,972e-004;1,261e-003;3,908e-004;1,319e-003;1,358e-003;5,649e-004;1,211e-004;3,043e-005;1,351e-003
434;1,837e-003;4,470e-004;2,497e-005;1,403e-027;1,403e-027;1,403e-027;1,403e-027;1,742e-003;1,767e-003;7,629e-004;1,518e-004;6,687e-004;7,958e-005;1,027e-003;1,668e-003;4,794e-004;1,755e-003;1,808e-003;7,591e-004;1,480e-004;3,892e-005;1,802e-003
436;2,383e-003;5,860e-004;3,310e-005;1,388e-027;1,388e-027;6,112e-007;1,388e-027;2,226e-003;2,275e-003;9,835e-004;1,815e-004;8,185e-004;9,723e-005;1,307e-003;2,169e-003;5,801e-004;2,293e-003;2,363e-003;1,001e-003;1,780e-004;4,950e-005;2,359e-003
438;3,040e-003;7,598e-004;4,362e-005;1,379e-027;1,379e-027;2,205e-006;1,379e-027;2,812e-003;2,892e-003;1,254e-003;2,161e-004;9,949e-004;1,183e-004;1,647e-003;2,781e-003;6,971e-004;2,950e-003;3,040e-003;1,304e-003;2,125e-004;6,126e-005;3,040e-003
440;3,817e-003;9,743e-004;5,563e-005;1,373e-027;1,373e-027;5,576e-006;1,373e-027;3,516e-003;3,630e-003;1,589e-003;2,549e-004;1,206e-003;1,413e-004;2,062e-003;3,514e-003;8,361e-004;3,736e-003;3,849e-003;1,679e-003;2,529e-004;7,523e-005;3,859e-003
442;4,795e-003;1,271e-003;7,387e-005;1,368e-027;1,368e-027;8,698e-006;2,850e-007;4,427e-003;4,580e-003;2,047e-003;3,064e-004;1,483e-003;1,726e-004;2,619e-003;4,466e-003;1,015e-003;4,744e-003;4,876e-003;2,200e-003;3,039e-004;9,171e-005;4,901e-003
444;5,764e-003;1,631e-003;9,378e-005;1,372e-027;1,372e-027;1,391e-005;3,295e-006;5,385e-003;5,557e-003;2,592e-003;3,615e-004;1,797e-003;2,053e-004;3,270e-003;5,459e-003;1,215e-003;5,750e-003;5,879e-003;2,830e-003;3,575e-004;1,106e-004;5,914e-003
446;6,614e-003;2,077e-003;1,187e-004;1,382e-027;1,382e-027;1,768e-005;6,734e-006;6,297e-003;6,454e-003;3,245e-003;4,163e-004;2,156e-003;2,391e-004;4,032e-003;6,385e-003;1,436e-003;6,623e-003;6,721e-003;3,594e-003;4,140e-004;1,282e-004;6,752e-003
448;7,195e-003;2,593e-003;1,471e-004;1,390e-027;1,390e-027;2,076e-005;1,206e-005;6,987e-003;7,101e-003;3,975e-003;4,645e-004;2,528e-003;2,670e-004;4,848e-003;7,061e-003;1,655e-003;7,203e-003;7,256e-003;4,448e-003;4,607e-004;1,436e-004;7,273e-003
450;7,596e-003;3,159e-003;1,772e-004;1,404e-027;1,404e-027;2,263e-005;1,712e-005;7,463e-003;7,534e-003;4,741e-003;4,996e-004;2,889e-003;2,883e-004;5,654e-003;7,509e-003;1,853e-003;7,604e-003;7,639e-003;5,329e-003;4,945e-004;1,551e-004;7,652e-003
452;7,919e-003;3,697e-003;2,049e-004;1,421e-027;1,421e-027;2,398e-005;2,252e-005;7,819e-003;7,872e-003;5,435e-003;5,117e-004;3,176e-003;2,956e-004;6,340e-003;7,854e-003;1,991e-003;7,926e-003;7,952e-003;6,099e-003;5,054e-004;1,577e-004;7,963e-003
454;8,201e-003;4,119e-003;2,236e-004;3,319e-007;1,440e-027;2,193e-005;2,629e-005;8,123e-003;8,164e-003;5,973e-003;4,996e-004;3,339e-003;2,876e-004;6,870e-003;8,149e-003;2,045e-003;8,209e-003;8,230e-003;6,697e-003;4,921e-004;1,526e-004;8,238e-003
456;8,447e-003;4,312e-003;2,288e-004;5,716e-007;1,455e-027;1,881e-005;2,758e-005;8,382e-003;8,414e-003;6,268e-003;4,607e-004;3,303e-003;2,643e-004;7,216e-003;8,404e-003;1,977e-003;8,454e-003;8,471e-003;7,089e-003;4,511e-004;1,372e-004;8,479e-003
458;8,653e-003;4,197e-003;2,180e-004;2,363e-006;1,470e-027;1,516e-005;2,624e-005;8,595e-003;8,622e-003;6,214e-003;4,110e-004;3,088e-003;2,341e-004;7,303e-003;8,617e-003;1,821e-003;8,660e-003;8,675e-003;7,198e-003;4,019e-004;1,201e-004;8,682e-003
460;8,832e-003;3,827e-003;1,979e-004;3,389e-006;1,484e-027;1,221e-005;2,180e-005;8,779e-003;8,804e-003;5,777e-003;3,645e-004;2,765e-003;2,067e-004;7,035e-003;8,799e-003;1,625e-003;8,839e-003;8,853e-003;6,932e-003;3,569e-004;1,029e-004;8,859e-003
