;S 120 Deep Blue G;S 115 Peacock B G;S 090 Dark Y G G;S 101 Yellow G;S 022 Dark Amber G;S 019 Fire G;S 106 Primary Red G;S 170 Deep Lav G;S 137 Special Lav G;S 117 Steel Blue G;S 088 Lime Green G;S 156 Chocolate G;S  652 U Sodium G;S 111 Dark Pink G;S 200 Double CTB G;S 204 Full CTO G;S 181 Congo B D;S 071 Tokyo Blue D;S 119 Dark Blue D;S 138 P Green D;S 158 Deep Orange D;S 126 Mauve D
546;3,257e-004;1,463e-003;1,459e-003;1,415e-003;3,882e-004;1,874e-004;9,513e-008;2,691e-003;2,586e-003;2,153e-003;2,099e-003;2,830e-003;1,068e-003;1,590e-003;1,848e-003;2,774e-003;8,869e-004;6,985e-004;1,399e-003;2,081e-003;2,231e-004;6,154e-004
548;2,906e-004;1,315e-003;1,311e-003;1,268e-003;3,474e-004;1,736e-004;3,060e-007;2,681e-003;2,484e-003;2,020e-003;1,965e-003;2,806e-003;1,008e-003;1,625e-003;1,707e-003;2,711e-003;7,929e-004;6,234e-004;1,250e-003;1,947e-003;2,288e-004;5,665e-004
550;2,585e-004;1,179e-003;1,177e-003;1,132e-003;3,095e-004;1,608e-004;6,018e-007;2,677e-003;2,394e-003;1,901e-003;1,844e-003;2,791e-003;9,535e-004;1,661e-003;1,580e-003;2,659e-003;7,066e-004;5,550e-004;1,115e-003;1,827e-003;2,344e-004;5,221e-004
552;2,297e-004;1,054e-003;1,051e-003;1,006e-003;2,747e-004;1,487e-004;8,326e-007;2,678e-003;2,314e-003;1,791e-003;1,734e-003;2,780e-003;9,042e-004;1,698e-003;1,464e-003;2,614e-003;6,277e-004;4,922e-004;9,903e-004;1,717e-003;2,403e-004;4,815e-004
554;2,027e-004;9,399e-004;9,378e-004;8,916e-004;2,429e-004;1,391e-004;1,743e-006;2,685e-003;2,244e-003;1,693e-003;1,636e-003;2,775e-003;8,609e-004;1,735e-003;1,358e-003;2,577e-003;5,555e-004;4,352e-004;8,762e-004;1,619e-003;2,462e-004;4,456e-004
556;1,756e-004;8,221e-004;8,220e-004;7,753e-004;2,108e-004;1,289e-004;2,889e-006;2,695e-003;2,175e-003;1,594e-003;1,536e-003;2,774e-003;8,173e-004;1,777e-003;1,253e-003;2,543e-003;4,817e-004;3,766e-004;7,596e-004;1,518e-003;2,522e-004;4,083e-004
558;1,539e-004;7,313e-004;7,309e-004;6,838e-004;1,860e-004;1,214e-004;3,468e-006;2,715e-003;2,128e-003;1,521e-003;1,461e-003;2,785e-003;7,848e-004;1,819e-003;1,172e-003;2,526e-003;4,240e-004;3,313e-004;6,686e-004;1,444e-003;2,592e-004;3,801e-004
560;1,351e-004;6,502e-004;6,499e-004;6,026e-004;1,645e-004;1,153e-004;5,293e-006;2,740e-003;2,092e-003;1,459e-003;1,398e-003;2,803e-003;7,594e-004;1,862e-003;1,102e-003;2,519e-003;3,727e-004;2,909e-004;5,876e-004;1,381e-003;2,660e-004;3,567e-004
562;1,187e-004;5,776e-004;5,783e-004;5,316e-004;1,458e-004;1,110e-004;6,680e-006;2,772e-003;2,065e-003;1,406e-003;1,344e-003;2,828e-003;7,383e-004;1,906e-003;1,041e-003;2,519e-003;3,273e-004;2,558e-004;5,158e-004;1,327e-003;2,739e-004;3,353e-004
564;1,035e-004;5,137e-004;5,153e-004;4,683e-004;1,297e-004;1,080e-004;8,860e-006;2,808e-003;2,047e-003;1,363e-003;1,299e-003;2,858e-003;7,225e-004;1,954e-003;9,896e-004;2,526e-003;2,877e-004;2,242e-004;4,530e-004;1,283e-003;2,826e-004;3,183e-004
566;9,114e-005;4,549e-004;4,566e-004;4,101e-004;1,164e-004;1,055e-004;1,193e-005;2,849e-003;2,035e-003;1,326e-003;1,260e-003;2,895e-003;7,093e-004;2,003e-003;9,437e-004;2,540e-003;2,519e-004;1,956e-004;3,944e-004;1,244e-003;2,921e-004;3,024e-004
568;7,906e-005;4,022e-004;4,048e-004;3,600e-004;1,049e-004;1,054e-004;1,585e-005;2,894e-003;2,029e-003;1,295e-003;1,227e-003;2,934e-003;7,006e-004;2,055e-003;9,035e-004;2,561e-003;2,179e-004;1,700e-004;3,424e-004;1,212e-003;3,022e-004;2,890e-004
570;7,021e-005;3,620e-004;3,643e-004;3,203e-004;9,735e-005;1,066e-004;1,980e-005;2,944e-003;2,032e-003;1,276e-003;1,207e-003;2,981e-003;6,975e-004;2,107e-003;8,748e-004;2,588e-003;1,922e-004;1,499e-004;3,005e-004;1,190e-003;3,134e-004;2,798e-004
572;6,252e-005;3,253e-004;3,280e-004;2,865e-004;9,193e-005;1,096e-004;2,537e-005;2,993e-003;2,040e-003;1,261e-003;1,191e-003;3,029e-003;6,980e-004;2,160e-003;8,511e-004;2,618e-003;1,695e-004;1,317e-004;2,635e-004;1,173e-003;3,257e-004;2,724e-004
574;5,493e-005;2,932e-004;2,960e-004;2,584e-004;9,063e-005;1,149e-004;3,268e-005;3,045e-003;2,053e-003;1,251e-003;1,180e-003;3,079e-003;7,018e-004;2,215e-003;8,312e-004;2,653e-003;1,501e-004;1,164e-004;2,315e-004;1,161e-003;3,388e-004;2,665e-004
576;4,927e-005;2,655e-004;2,686e-004;2,351e-004;9,101e-005;1,222e-004;4,132e-005;3,100e-003;2,068e-003;1,243e-003;1,173e-003;3,132e-003;7,105e-004;2,272e-003;8,167e-004;2,693e-003;1,325e-004;1,033e-004;2,034e-004;1,154e-003;3,551e-004;2,617e-004
578;4,412e-005;2,379e-004;2,409e-004;2,142e-004;9,560e-005;1,339e-004;5,449e-005;3,161e-003;2,087e-003;1,240e-003;1,168e-003;3,192e-003;7,230e-004;2,337e-003;8,025e-004;2,738e-003;1,159e-004;9,015e-005;1,753e-004;1,148e-003;3,737e-004;2,581e-004
580;3,933e-005;2,169e-004;2,204e-004;2,020e-004;1,038e-004;1,470e-004;6,919e-005;3,218e-003;2,110e-003;1,240e-003;1,169e-003;3,250e-003;7,393e-004;2,399e-003;7,947e-004;2,785e-003;1,024e-004;8,005e-005;1,544e-004;1,147e-003;3,951e-004;2,571e-004
582;3,551e-005;1,992e-004;2,022e-004;1,948e-004;1,165e-004;1,643e-004;8,731e-005;3,276e-003;2,133e-003;1,242e-003;1,172e-003;3,309e-003;7,604e-004;2,464e-003;7,887e-004;2,835e-003;9,130e-005;7,158e-005;1,361e-004;1,148e-003;4,206e-004;2,565e-004
584;3,204e-005;1,835e-004;1,860e-004;1,932e-004;1,345e-004;1,869e-004;1,097e-004;3,332e-003;2,159e-003;1,247e-003;1,179e-003;3,369e-003;7,875e-004;2,532e-003;7,839e-004;2,887e-003;8,117e-005;6,335e-005;1,196e-004;1,152e-003;4,497e-004;2,567e-004
586;2,985e-005;1,690e-004;1,725e-004;1,967e-004;1,586e-004;2,151e-004;1,391e-004;3,388e-003;2,183e-003;1,253e-003;1,186e-003;3,430e-003;8,205e-004;2,603e-003;7,821e-004;2,941e-003;7,207e-005;5,724e-005;1,037e-004;1,157e-003;4,844e-004;2,574e-004
588;2,751e-005;1,564e-004;1,589e-004;2,090e-004;1,929e-004;2,539e-004;1,780e-004;3,441e-003;2,207e-003;1,258e-003;1,196e-003;3,492e-003;8,630e-004;2,683e-003;7,795e-004;2,999e-003;6,515e-005;5,069e-005;8,970e-005;1,162e-003;5,290e-004;2,602e-004
590;2,558e-005;1,445e-004;1,477e-004;2,286e-004;2,373e-004;3,006e-004;2,257e-004;3,491e-003;2,230e-003;1,264e-003;1,208e-003;3,551e-003;9,142e-004;2,768e-003;7,792e-004;3,060e-003;5,691e-005;4,526e-005;7,864e-005;1,170e-003;5,822e-004;2,634e-004
592;2,425e-005;1,358e-004;1,383e-004;2,565e-004;2,896e-004;3,568e-004;2,832e-004;3,537e-003;2,252e-003;1,271e-003;1,222e-003;3,609e-003;9,742e-004;2,857e-003;7,797e-004;3,121e-003;5,125e-005;4,107e-005;6,894e-005;1,178e-003;6,426e-004;2,678e-004
594;2,248e-005;1,282e-004;1,300e-004;2,937e-004;3,547e-004;4,258e-004;3,529e-004;3,579e-003;2,271e-003;1,277e-003;1,237e-003;3,667e-003;1,045e-003;2,954e-003;7,793e-004;3,187e-003;4,661e-005;3,799e-005;6,075e-005;1,185e-003;7,143e-004;2,732e-004
596;2,099e-005;1,228e-004;1,228e-004;3,418e-004;4,357e-004;5,087e-004;4,369e-004;3,617e-003;2,289e-003;1,283e-003;1,253e-003;3,726e-003;1,133e-003;3,062e-003;7,797e-004;3,258e-003;4,195e-005;3,486e-005;5,360e-005;1,193e-003;8,016e-004;2,800e-004
598;2,004e-005;1,159e-004;1,164e-004;4,064e-004;5,395e-004;6,148e-004;5,445e-004;3,647e-003;2,303e-003;1,286e-003;1,273e-003;3,782e-003;1,240e-003;3,186e-003;7,790e-004;3,335e-003;3,815e-005;3,237e-005;4,643e-005;1,200e-003;9,115e-004;2,890e-004
600;1,822e-005;1,092e-004;1,096e-004;4,893e-004;6,676e-004;7,466e-004;6,779e-004;3,674e-003;2,313e-003;1,289e-003;1,293e-003;3,841e-003;1,374e-003;3,330e-003;7,772e-004;3,419e-003;3,363e-005;2,868e-005;4,082e-005;1,208e-003;1,046e-003;2,979e-004
602;1,772e-005;1,049e-004;1,052e-004;5,826e-004;8,110e-004;8,932e-004;8,273e-004;3,690e-003;2,318e-003;1,288e-003;1,315e-003;3,895e-003;1,518e-003;3,481e-003;7,760e-004;3,504e-003;3,073e-005;2,681e-005;3,517e-005;1,214e-003;1,194e-003;3,096e-004
604;1,740e-005;1,004e-004;1,009e-004;6,957e-004;9,815e-004;1,068e-003;1,008e-003;3,703e-003;2,320e-003;1,286e-003;1,340e-003;3,952e-003;1,691e-003;3,655e-003;7,735e-004;3,602e-003;2,850e-005;2,545e-005;3,010e-005;1,221e-003;1,370e-003;3,244e-004
606;1,627e-005;9,701e-005;9,712e-005;8,321e-004;1,186e-003;1,275e-003;1,221e-003;3,711e-003;2,319e-003;1,284e-003;1,368e-003;4,011e-003;1,894e-003;3,854e-003;7,696e-004;3,710e-003;2,563e-005;2,353e-005;2,678e-005;1,227e-003;1,580e-003;3,414e-004
608;1,509e-005;9,220e-005;9,366e-005;1,004e-003;1,441e-003;1,535e-003;1,489e-003;3,708e-003;2,310e-003;1,277e-003;1,402e-003;4,076e-003;2,146e-003;4,090e-003;7,642e-004;3,836e-003;2,332e-005;2,170e-005;2,389e-005;1,232e-003;1,840e-003;3,619e-004
610;1,359e-005;8,954e-005;9,061e-005;1,230e-003;1,770e-003;1,873e-003;1,839e-003;3,698e-003;2,297e-003;1,268e-003;1,445e-003;4,156e-003;2,470e-003;4,393e-003;7,571e-004;3,997e-003;2,109e-005;2,052e-005;2,150e-005;1,240e-003;2,178e-003;3,895e-004
612;1,332e-005;8,671e-005;8,797e-005;1,485e-003;2,140e-003;2,250e-003;2,232e-003;3,688e-003;2,280e-003;1,258e-003;1,496e-003;4,247e-003;2,835e-003;4,728e-003;7,488e-004;4,179e-003;1,893e-005;1,871e-005;1,889e-005;1,250e-003;2,557e-003;4,207e-004
614;1,226e-005;8,393e-005;8,499e-005;1,795e-003;2,586e-003;2,708e-003;2,709e-003;3,671e-003;2,259e-003;1,246e-003;1,557e-003;4,355e-003;3,273e-003;5,126e-003;7,399e-004;4,398e-003;1,745e-005;1,708e-005;1,600e-005;1,260e-003;3,016e-003;4,599e-004
616;1,117e-005;8,067e-005;8,195e-005;2,172e-003;3,123e-003;3,258e-003;3,285e-003;3,651e-003;2,234e-003;1,229e-003;1,632e-003;4,485e-003;3,800e-003;5,598e-003;7,306e-004;4,663e-003;1,569e-005;1,522e-005;1,371e-005;1,273e-003;3,568e-003;5,075e-004
618;9,403e-006;7,654e-005;7,952e-005;2,649e-003;3,796e-003;3,945e-003;4,000e-003;3,623e-003;2,203e-003;1,211e-003;1,730e-003;4,652e-003;4,458e-003;6,170e-003;7,177e-004;4,997e-003;1,424e-005;1,427e-005;1,134e-005;1,290e-003;4,258e-003;5,673e-004
620;7,275e-006;7,439e-005;7,524e-005;3,260e-003;4,644e-003;4,809e-003;4,897e-003;3,589e-003;2,164e-003;1,190e-003;1,859e-003;4,873e-003;5,282e-003;6,855e-003;7,040e-004;5,429e-003;9,548e-006;1,219e-005;8,814e-006;1,314e-003;5,119e-003;6,472e-004
622;6,533e-006;7,164e-005;7,288e-005;3,913e-003;5,528e-003;5,703e-003;5,817e-003;3,558e-003;2,126e-003;1,168e-003;1,996e-003;5,112e-003;6,129e-003;7,524e-003;6,902e-004;5,893e-003;8,019e-006;1,072e-005;6,571e-006;1,341e-003;6,003e-003;7,320e-004
624;6,438e-006;6,878e-005;7,076e-005;4,642e-003;6,473e-003;6,646e-003;6,770e-003;3,527e-003;2,086e-003;1,146e-003;2,152e-003;5,387e-003;7,012e-003;8,210e-003;6,759e-004;6,413e-003;6,502e-006;8,556e-006;5,251e-006;1,373e-003;6,918e-003;8,234e-004
626;3,923e-006;6,551e-005;6,910e-005;5,409e-003;7,405e-003;7,562e-003;7,680e-003;3,495e-003;2,046e-003;1,123e-003;2,311e-003;5,675e-003;7,870e-003;8,888e-003;6,613e-004;6,960e-003;4,901e-006;7,302e-006;3,980e-006;1,405e-003;7,796e-003;9,113e-004
628;2,111e-006;6,432e-005;6,747e-005;6,167e-003;8,282e-003;8,416e-003;8,515e-003;3,447e-003;2,001e-003;1,097e-003;2,449e-003;5,943e-003;8,682e-003;9,535e-003;6,444e-004;7,502e-003;3,013e-006;5,936e-006;3,766e-006;1,427e-003;8,613e-003;9,818e-004
630;2,792e-007;6,216e-005;6,497e-005;6,760e-003;9,031e-003;9,137e-003;9,208e-003;3,381e-003;1,948e-003;1,070e-003;2,514e-003;6,098e-003;9,392e-003;1,011e-002;6,265e-004;7,941e-003;1,785e-006;4,998e-006;1,564e-006;1,422e-003;9,304e-003;1,003e-003
632;2,535e-007;6,083e-005;6,472e-005;6,997e-003;9,553e-003;9,631e-003;9,660e-003;3,300e-003;1,903e-003;1,045e-003;2,471e-003;6,062e-003;9,910e-003;1,060e-002;6,119e-004;8,140e-003;2,467e-007;3,600e-006;6,146e-007;1,386e-003;9,776e-003;9,610e-004
634;1,902e-027;5,783e-005;6,308e-005;6,787e-003;9,823e-003;9,853e-003;9,792e-003;3,196e-003;1,855e-003;1,018e-003;2,315e-003;5,798e-003;1,022e-002;1,100e-002;5,959e-004;7,995e-003;1,902e-027;2,240e-006;2,650e-007;1,316e-003;9,975e-003;8,623e-004
636;1,949e-027;5,558e-005;5,958e-005;6,040e-003;9,531e-003;9,447e-003;9,177e-003;3,076e-003;1,804e-003;9,899e-004;2,072e-003;5,323e-003;1,007e-002;1,117e-002;5,782e-004;7,377e-003;1,949e-027;4,879e-007;1,949e-027;1,222e-003;9,521e-003;7,293e-004
638;1,999e-027;5,287e-005;5,692e-005;4,780e-003;8,025e-003;7,784e-003;7,281e-003;2,938e-003;1,747e-003;9,593e-004;1,769e-003;4,680e-003;8,725e-003;1,052e-002;5,582e-004;6,265e-003;1,999e-027;1,999e-027;1,999e-027;1,114e-003;7,785e-003;5,795e-004
640;2,047e-027;5,112e-005;5,623e-005;3,493e-003;5,799e-003;5,535e-003;5,049e-003;2,809e-003;1,690e-003;9,279e-004;1,497e-003;4,070e-003;6,458e-003;8,592e-003;5,396e-004;5,107e-003;2,047e-027;2,047e-027;2,047e-027;1,018e-003;5,526e-003;4,540e-004
642;2,094e-027;4,918e-005;5,317e-005;2,510e-003;4,026e-003;3,839e-003;3,479e-003;2,698e-003;1,638e-003;8,990e-004;1,291e-003;3,599e-003;4,568e-003;6,407e-003;5,215e-004;4,213e-003;2,094e-027;2,094e-027;2,094e-027;9,435e-004;3,871e-003;3,639e-004
644;2,142e-027;4,628e-005;5,151e-005;1,783e-003;2,797e-003;2,683e-003;2,424e-003;2,594e-003;1,585e-003;8,703e-004;1,134e-003;3,232e-003;3,279e-003;4,809e-003;5,044e-004;3,543e-003;2,142e-027;2,142e-027;2,142e-027;8,824e-004;2,757e-003;2,981e-004
646;2,187e-027;4,515e-005;5,060e-005;1,265e-003;1,965e-003;1,900e-003;1,706e-003;2,496e-003;1,532e-003;8,400e-004;1,012e-003;2,948e-003;2,422e-003;3,805e-003;4,867e-004;3,053e-003;2,187e-027;2,187e-027;2,187e-027;8,310e-004;2,007e-003;2,496e-004
648;2,237e-027;4,330e-005;4,645e-005;8,660e-004;1,337e-003;1,309e-003;1,164e-003;2,387e-003;1,472e-003;8,064e-004;9,103e-004;2,699e-003;1,778e-003;3,082e-003;4,671e-004;2,658e-003;2,237e-027;2,237e-027;2,237e-027;7,823e-004;1,438e-003;2,102e-004
650;2,283e-027;4,174e-005;4,538e-005;6,176e-004;9,508e-004;9,443e-004;8,270e-004;2,293e-003;1,415e-003;7,777e-004;8,366e-004;2,514e-003;1,377e-003;2,627e-003;4,477e-004;2,389e-003;2,283e-027;2,283e-027;2,283e-027;7,433e-004;1,084e-003;1,843e-004
652;2,328e-027;3,908e-005;4,392e-005;4,459e-004;6,849e-004;6,901e-004;5,957e-004;2,203e-003;1,363e-003;7,476e-004;7,796e-004;2,366e-003;1,099e-003;2,298e-003;4,318e-004;2,185e-003;2,328e-027;2,328e-027;2,328e-027;7,088e-004;8,400e-004;1,639e-004
654;2,373e-027;3,678e-005;4,285e-005;3,248e-004;4,949e-004;5,087e-004;4,310e-004;2,117e-003;1,309e-003;7,195e-004;7,314e-004;2,238e-003;8,943e-004;2,049e-003;4,147e-004;2,019e-003;2,373e-027;2,373e-027;2,373e-027;6,759e-004;6,617e-004;1,488e-004
656;2,419e-027;3,470e-005;4,118e-005;2,373e-004;3,577e-004;3,796e-004;3,121e-004;2,028e-003;1,257e-003;6,895e-004;6,888e-004;2,121e-003;7,413e-004;1,852e-003;3,973e-004;1,881e-003;2,419e-027;2,419e-027;2,419e-027;6,446e-004;5,300e-004;1,353e-004
658;2,467e-027;3,200e-005;3,758e-005;1,710e-004;2,553e-004;2,805e-004;2,250e-004;1,933e-003;1,197e-003;6,582e-004;6,471e-004;2,002e-003;6,216e-004;1,683e-003;3,780e-004;1,753e-003;2,467e-027;2,467e-027;2,467e-027;6,114e-004;4,307e-004;1,236e-004
660;2,511e-027;3,139e-005;3,757e-005;1,301e-004;1,930e-004;2,182e-004;1,706e-004;1,852e-003;1,147e-003;6,306e-004;6,140e-004;1,910e-003;5,453e-004;1,563e-003;3,606e-004;1,657e-003;2,511e-027;2,511e-027;2,511e-027;5,859e-004;3,668e-004;1,135e-004
662;2,557e-027;3,097e-005;3,506e-005;1,018e-004;1,471e-004;1,733e-004;1,298e-004;1,772e-003;1,099e-003;6,053e-004;5,828e-004;1,821e-003;4,861e-004;1,460e-003;3,442e-004;1,568e-003;2,557e-027;2,557e-027;2,557e-027;5,598e-004;3,184e-004;1,054e-004
664;2,602e-027;2,912e-005;3,303e-005;7,864e-005;1,116e-004;1,392e-004;9,950e-005;1,696e-003;1,051e-003;5,765e-004;5,559e-004;1,737e-003;4,371e-004;1,370e-003;3,292e-004;1,488e-003;2,602e-027;2,602e-027;2,602e-027;5,333e-004;2,790e-004;9,861e-005
666;2,650e-027;2,586e-005;3,048e-005;6,039e-005;8,311e-005;1,113e-004;7,553e-005;1,612e-003;9,975e-004;5,474e-004;5,248e-004;1,649e-003;3,937e-004;1,282e-003;3,144e-004;1,405e-003;2,650e-027;2,650e-027;2,650e-027;5,061e-004;2,453e-004;9,118e-005
668;2,699e-027;2,372e-005;2,855e-005;4,824e-005;6,297e-005;9,087e-005;5,803e-005;1,537e-003;9,498e-004;5,229e-004;4,981e-004;1,568e-003;3,597e-004;1,207e-003;2,991e-004;1,332e-003;2,699e-027;2,699e-027;2,699e-027;4,812e-004;2,192e-004;8,497e-005
670;2,748e-027;2,116e-005;2,480e-005;3,748e-005;4,937e-005;7,583e-005;4,523e-005;1,467e-003;9,064e-004;4,994e-004;4,744e-004;1,495e-003;3,329e-004;1,142e-003;2,838e-004;1,266e-003;2,748e-027;2,748e-027;2,748e-027;4,601e-004;2,002e-004;7,914e-005
672;2,796e-027;1,988e-005;2,406e-005;2,931e-005;3,849e-005;6,302e-005;3,429e-005;1,397e-003;8,648e-004;4,748e-004;4,499e-004;1,425e-003;3,107e-004;1,082e-003;2,705e-004;1,203e-003;2,796e-027;2,796e-027;2,796e-027;4,382e-004;1,832e-004;7,320e-005
674;2,845e-027;1,782e-005;2,046e-005;2,494e-005;2,898e-005;5,284e-005;2,645e-005;1,329e-003;8,211e-004;4,495e-004;4,254e-004;1,355e-003;2,875e-004;1,022e-003;2,570e-004;1,140e-003;2,845e-027;2,845e-027;2,845e-027;4,151e-004;1,665e-004;6,713e-005
676;2,900e-027;1,703e-005;1,813e-005;1,693e-005;2,225e-005;4,339e-005;1,715e-005;1,256e-003;7,757e-004;4,242e-004;4,016e-004;1,280e-003;2,656e-004;9,645e-004;2,412e-004;1,077e-003;2,900e-027;2,900e-027;2,900e-027;3,914e-004;1,498e-004;6,250e-005
678;2,952e-027;1,454e-005;1,462e-005;1,268e-005;1,520e-005;3,497e-005;1,140e-005;1,196e-003;7,382e-004;4,029e-004;3,808e-004;1,219e-003;2,484e-004;9,116e-004;2,286e-004;1,024e-003;2,952e-027;2,952e-027;2,952e-027;3,711e-004;1,400e-004;5,966e-005
680;3,008e-027;1,144e-005;1,278e-005;8,965e-006;9,607e-006;2,793e-005;5,748e-006;1,138e-003;7,015e-004;3,825e-004;3,627e-004;1,158e-003;2,326e-004;8,648e-004;2,169e-004;9,725e-004;3,008e-027;3,008e-027;3,008e-027;3,529e-004;1,284e-004;5,558e-005
682;3,065e-027;1,095e-005;1,022e-005;5,672e-006;3,377e-006;2,241e-005;2,011e-006;1,082e-003;6,671e-004;3,622e-004;3,417e-004;1,101e-003;2,185e-004;8,201e-004;2,028e-004;9,216e-004;3,065e-027;3,065e-027;3,065e-027;3,347e-004;1,188e-004;5,031e-005
684;3,130e-027;8,330e-006;8,127e-006;4,114e-007;1,075e-006;1,895e-005;7,547e-008;1,020e-003;6,285e-004;3,401e-004;3,227e-004;1,038e-003;1,987e-004;7,698e-004;1,911e-004;8,679e-004;3,130e-027;3,130e-027;3,130e-027;3,148e-004;1,056e-004;4,561e-005
686;3,193e-027;7,695e-006;5,772e-006;3,193e-027;3,193e-027;1,340e-005;3,193e-027;9,678e-004;5,948e-004;3,209e-004;3,032e-004;9,841e-004;1,849e-004;7,279e-004;1,790e-004;8,217e-004;3,193e-027;3,193e-027;3,193e-027;2,976e-004;9,790e-005;3,876e-005
688;3,259e-027;6,294e-006;4,458e-006;3,259e-027;3,259e-027;6,490e-006;3,259e-027;9,171e-004;5,638e-004;3,033e-004;2,859e-004;9,329e-004;1,721e-004;6,876e-004;1,666e-004;7,785e-004;3,259e-027;3,259e-027;3,259e-027;2,808e-004;8,923e-005;3,576e-005
690;3,328e-027;3,965e-006;1,660e-006;3,328e-027;3,328e-027;2,548e-006;3,328e-027;8,709e-004;5,339e-004;2,894e-004;2,685e-004;8,847e-004;1,586e-004;6,498e-004;1,567e-004;7,368e-004;3,328e-027;3,328e-027;3,328e-027;2,647e-004;8,002e-005;3,165e-005
692;3,403e-027;3,164e-006;6,387e-008;3,403e-027;3,403e-027;2,306e-007;3,403e-027;8,241e-004;5,056e-004;2,719e-004;2,522e-004;8,354e-004;1,464e-004;6,098e-004;1,447e-004;6,947e-004;3,403e-027;3,403e-027;3,403e-027;2,474e-004;7,045e-005;2,963e-005
694;3,482e-027;1,770e-006;3,482e-027;3,482e-027;3,482e-027;3,482e-027;3,482e-027;7,739e-004;4,746e-004;2,520e-004;2,355e-004;7,888e-004;1,330e-004;5,732e-004;1,346e-004;6,543e-004;3,482e-027;3,482e-027;3,482e-027;2,320e-004;6,209e-005;2,338e-005
696;3,557e-027;2,746e-007;3,557e-027;3,557e-027;3,557e-027;3,557e-027;3,557e-027;7,313e-004;4,476e-004;2,390e-004;2,215e-004;7,451e-004;1,228e-004;5,401e-004;1,253e-004;6,170e-004;3,557e-027;3,557e-027;3,557e-027;2,170e-004;5,343e-005;2,157e-005
698;3,635e-027;3,635e-027;3,635e-027;3,635e-027;3,635e-027;3,635e-027;3,635e-027;6,933e-004;4,221e-004;2,230e-004;2,061e-004;7,037e-004;1,107e-004;5,071e-004;1,169e-004;5,805e-004;3,635e-027;3,635e-027;3,635e-027;2,041e-004;4,511e-005;1,745e-005
700;3,719e-027;3,719e-027;3,719e-027;3,719e-027;3,719e-027;3,719e-027;3,719e-027;6,530e-004;3,982e-004;2,085e-004;1,919e-004;6,668e-004;1,004e-004;4,763e-004;1,061e-004;5,469e-004;3,719e-027;3,719e-027;3,719e-027;1,902e-004;3,855e-005;1,361e-005
702;3,811e-027;3,811e-027;3,811e-027;3,811e-027;3,811e-027;3,811e-027;3,811e-027;6,094e-004;3,723e-004;1,922e-004;1,760e-004;6,218e-004;8,780e-005;4,419e-004;9,647e-005;5,101e-004;3,811e-027;3,811e-027;3,811e-027;1,777e-004;3,124e-005;8,942e-006
704;3,895e-027;3,895e-027;3,895e-027;3,895e-027;3,895e-027;3,895e-027;3,895e-027;5,761e-004;3,514e-004;1,819e-004;1,662e-004;5,869e-004;8,182e-005;4,142e-004;8,880e-005;4,803e-004;3,895e-027;3,895e-027;3,895e-027;1,658e-004;2,532e-005;7,167e-006
706;3,985e-027;3,985e-027;3,985e-027;3,985e-027;3,985e-027;3,985e-027;3,985e-027;5,436e-004;3,308e-004;1,709e-004;1,548e-004;5,516e-004;7,275e-005;3,879e-004;8,091e-005;4,525e-004;3,985e-027;3,985e-027;3,985e-027;1,554e-004;1,897e-005;2,387e-006
708;4,080e-027;4,080e-027;4,080e-027;4,080e-027;4,080e-027;4,080e-027;4,080e-027;5,100e-004;3,110e-004;1,564e-004;1,429e-004;5,228e-004;6,069e-005;3,620e-004;7,261e-005;4,245e-004;4,080e-027;4,080e-027;4,080e-027;1,451e-004;1,425e-005;3,292e-007
710;4,188e-027;4,188e-027;4,188e-027;4,188e-027;4,188e-027;4,188e-027;4,188e-027;4,755e-004;2,871e-004;1,440e-004;1,309e-004;4,869e-004;5,313e-005;3,341e-004;6,394e-005;3,939e-004;4,188e-027;4,188e-027;4,188e-027;1,322e-004;5,182e-006;4,188e-027
712;4,296e-027;4,296e-027;4,296e-027;4,296e-027;4,296e-027;4,296e-027;4,296e-027;4,472e-004;2,673e-004;1,348e-004;1,232e-004;4,593e-004;4,688e-005;3,161e-004;5,702e-005;3,738e-004;4,296e-027;4,296e-027;4,296e-027;1,223e-004;2,132e-006;4,296e-027
714;4,410e-027;4,410e-027;4,410e-027;4,410e-027;4,410e-027;4,410e-027;4,410e-027;4,203e-004;2,506e-004;1,260e-004;1,132e-004;4,313e-004;3,954e-005;2,929e-004;5,078e-005;3,482e-004;4,410e-027;4,410e-027;4,410e-027;1,152e-004;6,957e-007;4,410e-027
716;4,526e-027;4,526e-027;4,526e-027;4,526e-027;4,526e-027;4,526e-027;4,526e-027;3,955e-004;2,365e-004;1,139e-004;1,051e-004;4,105e-004;3,442e-005;2,724e-004;4,375e-005;3,245e-004;4,526e-027;4,526e-027;4,526e-027;1,071e-004;4,526e-027;4,526e-027
718;4,666e-027;4,666e-027;4,666e-027;4,666e-027;4,666e-027;4,666e-027;4,666e-027;3,656e-004;2,160e-004;1,050e-004;9,734e-005;3,818e-004;2,500e-005;2,529e-004;3,756e-005;3,036e-004;4,666e-027;4,666e-027;4,666e-027;9,670e-005;4,666e-027;4,666e-027
720;4,797e-027;4,797e-027;4,797e-027;4,797e-027;4,797e-027;4,797e-027;4,797e-027;3,419e-004;2,023e-004;9,643e-005;8,790e-005;3,562e-004;1,889e-005;2,310e-004;2,948e-005;2,822e-004;4,797e-027;4,797e-027;4,797e-027;8,921e-005;4,797e-027;4,797e-027
