;M44;M43;M42;M41;M40;M39;M38;M37;M36;M35;M34;M33;M32;M31;M30;M29;M28;M27;M26;M25;M24;M23;M22;M21;M20;M19;M18;M17;M16;M15;M14;M13;M12;M11;M10;M9;M8;M7;M6;M5;M4;M3;M2;M1
422;1,361e-005;3,177e-026;3,177e-026;5,873e-004;7,204e-004;7,537e-004;7,205e-004;4,004e-004;3,371e-007;3,177e-026;3,177e-026;6,035e-004;7,681e-004;7,311e-004;7,928e-004;4,132e-004;1,683e-005;1,129e-006;3,177e-026;3,813e-004;7,340e-004;3,833e-004;3,177e-026;3,177e-026;3,177e-026;7,189e-004;7,143e-004;4,831e-004;7,174e-004;3,177e-026;3,177e-026;3,716e-004;3,330e-004;3,816e-004;2,583e-004;3,089e-004;2,449e-004;2,466e-004;7,198e-004;6,631e-004;6,451e-004;5,209e-004;4,711e-004;1,091e-004
424;1,326e-005;3,094e-026;3,094e-026;8,919e-004;1,050e-003;1,094e-003;1,072e-003;5,880e-004;3,094e-026;3,094e-026;3,094e-026;8,736e-004;1,076e-003;1,074e-003;1,126e-003;5,773e-004;3,614e-006;3,791e-007;3,094e-026;5,822e-004;1,072e-003;5,581e-004;3,003e-006;3,094e-026;3,094e-026;1,061e-003;1,058e-003;6,281e-004;1,058e-003;3,094e-026;3,094e-026;5,059e-004;4,382e-004;5,045e-004;3,429e-004;4,116e-004;3,240e-004;3,174e-004;1,006e-003;8,817e-004;8,389e-004;6,873e-004;6,252e-004;1,528e-004
426;2,106e-005;3,019e-026;3,019e-026;1,259e-003;1,535e-003;1,551e-003;1,541e-003;8,533e-004;1,690e-005;3,019e-026;3,019e-026;1,246e-003;1,553e-003;1,546e-003;1,581e-003;8,381e-004;8,548e-008;3,019e-026;3,019e-026;8,747e-004;1,550e-003;7,739e-004;4,508e-007;3,019e-026;3,019e-026;1,525e-003;1,519e-003;7,965e-004;1,521e-003;3,019e-026;3,019e-026;6,915e-004;5,946e-004;6,751e-004;4,328e-004;5,413e-004;4,264e-004;4,069e-004;1,370e-003;1,163e-003;1,089e-003;8,843e-004;7,943e-004;2,032e-004
428;2,314e-005;2,933e-026;2,933e-026;1,849e-003;2,252e-003;2,257e-003;2,266e-003;1,241e-003;8,427e-006;2,933e-026;2,933e-026;1,795e-003;2,270e-003;2,264e-003;2,297e-003;1,220e-003;2,933e-026;2,933e-026;2,933e-026;1,268e-003;2,282e-003;1,130e-003;4,064e-006;2,933e-026;2,933e-026;2,237e-003;2,249e-003;1,027e-003;2,247e-003;2,933e-026;2,933e-026;9,444e-004;8,018e-004;9,081e-004;5,822e-004;7,160e-004;5,648e-004;5,206e-004;1,901e-003;1,576e-003;1,433e-003;1,146e-003;1,025e-003;2,724e-004
430;1,139e-005;2,880e-026;2,880e-026;2,587e-003;3,141e-003;3,152e-003;3,179e-003;1,727e-003;2,880e-026;2,880e-026;2,880e-026;2,510e-003;3,185e-003;3,165e-003;3,216e-003;1,667e-003;1,913e-007;2,880e-026;2,880e-026;1,788e-003;3,175e-003;1,549e-003;6,492e-006;2,880e-026;2,880e-026;3,147e-003;3,151e-003;1,269e-003;3,147e-003;2,880e-026;2,880e-026;1,271e-003;1,041e-003;1,190e-003;7,352e-004;9,268e-004;7,127e-004;6,556e-004;2,555e-003;2,072e-003;1,834e-003;1,435e-003;1,271e-003;3,689e-004
432;3,459e-006;2,830e-026;2,830e-026;3,585e-003;4,363e-003;4,353e-003;4,374e-003;2,363e-003;2,830e-026;2,830e-026;2,830e-026;3,470e-003;4,369e-003;4,369e-003;4,387e-003;2,319e-003;4,691e-007;2,830e-026;2,830e-026;2,478e-003;4,375e-003;2,120e-003;4,273e-006;2,830e-026;2,830e-026;4,357e-003;4,368e-003;1,534e-003;4,351e-003;2,830e-026;2,830e-026;1,681e-003;1,355e-003;1,535e-003;9,105e-004;1,168e-003;8,874e-004;7,986e-004;3,371e-003;2,680e-003;2,335e-003;1,779e-003;1,555e-003;4,830e-004
434;5,046e-006;2,796e-026;2,796e-026;4,882e-003;5,940e-003;5,929e-003;5,960e-003;3,212e-003;2,796e-026;2,796e-026;2,796e-026;4,716e-003;5,939e-003;5,942e-003;5,966e-003;3,163e-003;1,742e-006;2,796e-026;2,796e-026;3,405e-003;5,970e-003;2,873e-003;3,600e-007;2,796e-026;2,796e-026;5,947e-003;5,962e-003;1,847e-003;5,932e-003;2,796e-026;2,796e-026;2,211e-003;1,733e-003;1,968e-003;1,128e-003;1,478e-003;1,091e-003;9,774e-004;4,426e-003;3,445e-003;2,943e-003;2,184e-003;1,892e-003;6,357e-004
436;3,030e-007;2,766e-026;2,766e-026;6,570e-003;7,971e-003;7,964e-003;8,002e-003;4,299e-003;2,766e-026;2,766e-026;2,766e-026;6,333e-003;7,978e-003;7,983e-003;8,002e-003;4,235e-003;3,496e-006;2,766e-026;2,766e-026;4,590e-003;8,021e-003;3,867e-003;2,766e-026;2,766e-026;2,766e-026;8,017e-003;8,033e-003;2,205e-003;8,010e-003;2,766e-026;2,766e-026;2,878e-003;2,225e-003;2,513e-003;1,374e-003;1,864e-003;1,344e-003;1,171e-003;5,775e-003;4,400e-003;3,701e-003;2,673e-003;2,287e-003;8,152e-004
438;2,746e-026;2,746e-026;2,746e-026;8,776e-003;1,062e-002;1,062e-002;1,068e-002;5,722e-003;2,746e-026;2,746e-026;2,746e-026;8,443e-003;1,062e-002;1,063e-002;1,064e-002;5,662e-003;3,471e-006;2,746e-026;2,746e-026;6,143e-003;1,072e-002;5,163e-003;2,746e-026;2,746e-026;2,746e-026;1,072e-002;1,074e-002;2,621e-003;1,072e-002;2,746e-026;2,746e-026;3,735e-003;2,837e-003;3,202e-003;1,671e-003;2,329e-003;1,637e-003;1,394e-003;7,503e-003;5,610e-003;4,646e-003;3,252e-003;2,738e-003;1,066e-003
440;2,735e-026;2,735e-026;2,735e-026;1,165e-002;1,411e-002;1,409e-002;1,411e-002;7,586e-003;2,735e-026;2,735e-026;2,735e-026;1,120e-002;1,408e-002;1,410e-002;1,409e-002;7,531e-003;3,457e-006;2,735e-026;2,735e-026;8,169e-003;1,422e-002;6,864e-003;2,735e-026;2,735e-026;2,735e-026;1,424e-002;1,428e-002;3,063e-003;1,426e-002;2,735e-026;2,735e-026;4,841e-003;3,589e-003;4,068e-003;2,021e-003;2,900e-003;1,981e-003;1,647e-003;9,692e-003;7,140e-003;5,803e-003;3,932e-003;3,243e-003;1,354e-003
442;5,461e-006;2,726e-026;2,726e-026;1,584e-002;1,910e-002;1,909e-002;1,914e-002;1,031e-002;2,726e-026;2,726e-026;2,726e-026;1,520e-002;1,912e-002;1,915e-002;1,912e-002;1,023e-002;1,231e-005;2,726e-026;2,726e-026;1,115e-002;1,935e-002;9,361e-003;6,073e-007;2,726e-026;2,726e-026;1,937e-002;1,945e-002;3,567e-003;1,943e-002;2,726e-026;2,726e-026;6,397e-003;4,642e-003;5,251e-003;2,446e-003;3,691e-003;2,409e-003;1,939e-003;1,280e-002;9,245e-003;7,367e-003;4,776e-003;3,836e-003;1,789e-003
444;2,733e-026;2,733e-026;2,733e-026;2,099e-002;2,534e-002;2,529e-002;2,535e-002;1,369e-002;1,429e-006;2,733e-026;2,733e-026;2,016e-002;2,533e-002;2,534e-002;2,532e-002;1,361e-002;2,542e-005;2,733e-026;2,733e-026;1,481e-002;2,566e-002;1,246e-002;2,733e-026;2,733e-026;2,733e-026;2,574e-002;2,582e-002;4,038e-003;2,584e-002;2,733e-026;2,733e-026;8,281e-003;5,878e-003;6,644e-003;2,904e-003;4,578e-003;2,845e-003;2,221e-003;1,655e-002;1,172e-002;9,130e-003;5,664e-003;4,398e-003;2,292e-003
