;S Clear;S 181 Congo R;S 071 Tokyo R;S 120 Deep Blue R;S 119 Dark Blue R;S 115 Peacock R;S 090 Dark Y G R;S 139 P Green R;S 101 Yellow R;S 158 Deep Orange R;S 022 Dark Amber R;S 019 Fire R;S 106 P Red R;S 126 Mauve R;S 170 Deep Lav R;S 137 Special Lav R;S 117 Steel Blue R;S 088 Lime Green R;S 156 Chocolate R;S 652 Urban Sodium R;S 111 Dark Pink R;S 200 Double CTB R;S 204 Full CTO R
406;7,080e-006;9,948e-007;2,707e-007;2,152e-027;2,152e-027;7,298e-007;2,152e-027;2,152e-027;2,152e-027;2,152e-027;2,152e-027;2,152e-027;2,152e-027;1,948e-006;2,186e-006;1,788e-006;6,000e-006;2,152e-027;1,032e-006;2,152e-027;4,251e-006;1,430e-006;4,663e-007
408;1,389e-005;2,559e-006;1,027e-006;2,070e-027;8,076e-007;4,296e-006;2,070e-027;2,070e-027;2,070e-027;2,070e-027;2,070e-027;2,070e-027;2,070e-027;3,557e-006;6,003e-006;6,719e-006;1,210e-005;2,070e-027;2,813e-006;2,070e-027;7,007e-006;6,152e-006;1,713e-006
410;2,198e-005;3,555e-006;1,037e-006;1,982e-027;3,728e-006;8,424e-006;1,982e-027;1,982e-027;1,982e-027;1,982e-027;1,982e-027;1,982e-027;1,982e-027;7,002e-006;1,100e-005;1,351e-005;1,899e-005;1,982e-027;5,403e-006;1,982e-027;1,191e-005;1,114e-005;3,464e-006
412;3,413e-005;3,835e-006;3,534e-006;2,355e-006;6,773e-006;1,433e-005;1,889e-027;1,889e-027;1,889e-027;1,889e-027;1,889e-027;1,889e-027;1,889e-027;9,783e-006;1,676e-005;2,417e-005;3,085e-005;1,889e-027;8,717e-006;1,889e-027;1,732e-005;2,005e-005;5,056e-006
414;5,202e-005;6,227e-006;7,325e-006;5,137e-006;1,065e-005;2,466e-005;1,816e-027;1,816e-027;1,816e-027;1,816e-027;1,816e-027;1,816e-027;1,816e-027;1,531e-005;2,664e-005;3,823e-005;4,667e-005;1,816e-027;1,351e-005;1,816e-027;2,949e-005;3,251e-005;8,972e-006
416;7,480e-005;1,005e-005;1,159e-005;9,939e-006;1,857e-005;3,615e-005;1,755e-027;1,755e-027;1,755e-027;1,755e-027;1,755e-027;1,755e-027;1,755e-027;2,214e-005;4,042e-005;5,681e-005;6,738e-005;1,755e-027;2,040e-005;1,755e-027;4,224e-005;4,839e-005;1,357e-005
418;1,049e-004;1,423e-005;1,691e-005;1,551e-005;2,811e-005;5,235e-005;1,696e-027;1,696e-027;1,696e-027;1,696e-027;1,696e-027;1,696e-027;1,696e-027;3,225e-005;5,831e-005;8,177e-005;9,625e-005;1,696e-027;2,697e-005;1,696e-027;6,056e-005;7,041e-005;1,921e-005
420;1,443e-004;1,975e-005;2,511e-005;2,511e-005;4,095e-005;7,400e-005;1,646e-027;1,646e-027;1,646e-027;1,646e-027;1,646e-027;1,646e-027;1,646e-027;4,467e-005;8,213e-005;1,146e-004;1,326e-004;1,646e-027;3,557e-005;1,646e-027;8,298e-005;9,841e-005;2,859e-005
422;1,953e-004;2,727e-005;3,618e-005;3,790e-005;5,839e-005;1,032e-004;1,595e-027;1,595e-027;1,595e-027;1,595e-027;1,595e-027;1,595e-027;1,595e-027;6,110e-005;1,135e-004;1,584e-004;1,789e-004;1,595e-027;4,744e-005;5,436e-009;1,114e-004;1,358e-004;3,919e-005
424;2,632e-004;3,795e-005;5,205e-005;5,798e-005;8,364e-005;1,420e-004;1,553e-027;1,553e-027;1,553e-027;1,553e-027;1,553e-027;1,553e-027;1,553e-027;8,352e-005;1,541e-004;2,175e-004;2,401e-004;1,553e-027;6,207e-005;7,293e-007;1,491e-004;1,830e-004;5,361e-005
426;3,509e-004;5,380e-005;7,235e-005;8,483e-005;1,194e-004;1,923e-004;1,516e-027;1,516e-027;1,516e-027;7,568e-009;1,516e-027;1,516e-027;1,516e-027;1,134e-004;2,081e-004;2,954e-004;3,203e-004;1,516e-027;7,806e-005;1,478e-006;1,985e-004;2,443e-004;7,158e-005
428;4,738e-004;7,580e-005;1,044e-004;1,256e-004;1,692e-004;2,620e-004;1,472e-027;1,472e-027;1,472e-027;8,350e-007;1,472e-027;1,472e-027;1,472e-027;1,553e-004;2,807e-004;4,044e-004;4,338e-004;1,472e-027;1,014e-004;3,177e-006;2,655e-004;3,316e-004;9,751e-005
430;6,198e-004;1,036e-004;1,446e-004;1,800e-004;2,341e-004;3,442e-004;1,446e-027;1,446e-027;1,446e-027;2,347e-006;1,446e-027;6,450e-007;1,446e-027;2,049e-004;3,669e-004;5,322e-004;5,689e-004;1,446e-027;1,276e-004;4,350e-006;3,469e-004;4,347e-004;1,270e-004
