;O Clear;O 181 Congo R;O 71 Tokyo Blue R;O 120 Deep Blue R;O 119 Dark Blue R;O 115 Peacock R;O 090 Dark Y G R;O 139 P Green R;O 101 Yellow R;O 158 Deep Orange R;O 022 Dark Amber R;O 019 Fire R;O 106 P Red R;O 126 Mauve R;O 170 Deep Lav R;O 137 Special Lav R;O 117 Steel Blue R;O 088 Lime Green R;O 156 Chocoloate R;O 652 U Sodium R;O 111 Dark Pink R;O 200 Double CTB R;O 204 Full CTO R;O 180 Dark Lav R;O 174 Dark Steel B R
466;1,62E-03;2,31E-04;2,84E-04;5,08E-04;6,84E-04;1,02E-03;1,89E-05;4,98E-07;5,54E-06;1,60E-06;1,51E-27;9,43E-06;1,51E-27;3,72E-04;8,01E-04;1,25E-03;1,41E-03;1,76E-04;1,64E-04;6,75E-05;6,66E-04;1,07E-03;3,57E-04;9,01E-04;1,29E-03
468;1,51E-03;2,01E-04;2,42E-04;4,54E-04;6,28E-04;9,68E-04;2,11E-05;1,07E-06;8,56E-06;5,12E-07;1,51E-27;8,35E-06;1,51E-27;3,23E-04;7,36E-04;1,15E-03;1,32E-03;2,10E-04;1,50E-04;7,23E-05;6,05E-04;9,91E-04;3,44E-04;8,11E-04;1,20E-03
470;1,46E-03;1,77E-04;2,08E-04;4,12E-04;5,89E-04;9,54E-04;2,40E-05;2,47E-06;1,49E-05;1,33E-09;1,50E-27;9,09E-06;1,50E-27;2,85E-04;6,94E-04;1,09E-03;1,26E-03;2,62E-04;1,41E-04;7,99E-05;5,63E-04;9,40E-04;3,43E-04;7,48E-04;1,16E-03
472;1,48E-03;1,63E-04;1,90E-04;3,92E-04;5,76E-04;9,83E-04;3,04E-05;4,17E-06;2,27E-05;5,11E-08;1,50E-27;9,07E-06;1,97E-07;2,62E-04;6,89E-04;1,08E-03;1,27E-03;3,29E-04;1,42E-04;9,10E-05;5,48E-04;9,28E-04;3,59E-04;7,25E-04;1,16E-03
474;1,55E-03;1,54E-04;1,77E-04;3,85E-04;5,84E-04;1,05E-03;3,87E-05;6,82E-06;3,73E-05;1,23E-07;1,50E-27;1,08E-05;5,42E-07;2,50E-04;7,12E-04;1,12E-03;1,34E-03;4,22E-04;1,49E-04;1,06E-04;5,55E-04;9,51E-04;3,89E-04;7,33E-04;1,21E-03
476;1,68E-03;1,51E-04;1,69E-04;3,88E-04;6,06E-04;1,16E-03;5,14E-05;1,08E-05;5,96E-05;1,50E-27;1,50E-27;1,26E-05;8,35E-08;2,44E-04;7,58E-04;1,20E-03;1,45E-03;5,46E-04;1,61E-04;1,27E-04;5,78E-04;1,00E-03;4,35E-04;7,64E-04;1,30E-03
478;1,87E-03;1,50E-04;1,65E-04;4,00E-04;6,42E-04;1,30E-03;6,79E-05;1,63E-05;9,36E-05;1,50E-27;1,50E-27;1,46E-05;1,50E-27;2,44E-04;8,27E-04;1,31E-03;1,61E-03;7,07E-04;1,80E-04;1,53E-04;6,17E-04;1,08E-03;5,00E-04;8,16E-04;1,42E-03
480;2,10E-03;1,48E-04;1,62E-04;4,15E-04;6,86E-04;1,47E-03;9,22E-05;2,44E-05;1,44E-04;1,50E-27;1,50E-27;1,66E-05;1,50E-27;2,43E-04;9,12E-04;1,45E-03;1,81E-03;9,09E-04;2,05E-04;1,84E-04;6,66E-04;1,18E-03;5,80E-04;8,81E-04;1,56E-03
482;2,37E-03;1,47E-04;1,58E-04;4,30E-04;7,36E-04;1,68E-03;1,25E-04;3,76E-05;2,17E-04;1,50E-27;1,50E-27;1,97E-05;1,50E-27;2,43E-04;1,01E-03;1,61E-03;2,04E-03;1,16E-03;2,35E-04;2,19E-04;7,24E-04;1,29E-03;6,79E-04;9,50E-04;1,73E-03
484;2,66E-03;1,44E-04;1,52E-04;4,39E-04;7,81E-04;1,90E-03;1,69E-04;5,70E-05;3,19E-04;1,50E-27;4,13E-09;2,46E-05;4,07E-09;2,40E-04;1,11E-03;1,77E-03;2,29E-03;1,45E-03;2,70E-04;2,57E-04;7,86E-04;1,42E-03;7,91E-04;1,01E-03;1,90E-03
